city,district,neighborhood,number_of_rooms,area_sqm,building_age,price,property_type,floor,number_of_bathrooms
İzmir,Buca,Bahçelievler,1+1,116,49,1805000,Daire,Zemin,1
Ankara,Etimesgut,Yeşilbahçe,2+1,99,36,1933000,Villa,5,1
Ankara,Keçiören,Bahçelievler,3+1,64,31,1056000,Villa,Çatı,3
Ankara,Etimesgut,Güzeltepe,3+1,55,29,1099000,Rezidans,5,2
İzmir,Buca,Güzeltepe,1+1,151,30,2942000,Rezidans,Çatı,1
Ankara,Çankaya,Yeşilbahçe,2+1,49,35,676000,Müstakil,1,1
İstanbul,Kadıköy,Yeşilbahçe,4+1,99,1,1846000,Daire,3,3
İzmir,Konak,Yeşilbahçe,1+1,78,32,1098000,Rezidans,Çatı,3
İstanbul,Üsküdar,Güzeltepe,1+1,122,20,2090000,Müstakil,Zemin,2
İstanbul,Bakırköy,Altıntepe,2+1,78,7,1758000,Rezidans,Çatı,1
Ankara,Etimesgut,Merkez,5+1,71,4,1163000,Villa,5,1
Ankara,Çankaya,Güzeltepe,1+1,122,45,1964000,Müstakil,4,3
İstanbul,Kadıköy,Bahçelievler,3+1,98,7,1571000,Müstakil,5,2
İstanbul,Bakırköy,Merkez,5+1,48,18,714000,Müstakil,5,1
Ankara,Çankaya,Bahçelievler,3+1,92,40,1597000,Rezidans,Zemin,3
Ankara,Etimesgut,Merkez,1+1,104,39,1607000,Daire,Çatı,3
İstanbul,Beşiktaş,Yeşilbahçe,3+1,95,34,1647000,Müstakil,5,3
İzmir,Buca,Güzeltepe,3+1,111,19,1688000,Villa,Zemin,2
İzmir,Karşıyaka,Merkez,3+1,112,21,1874000,Daire,Çatı,2
Ankara,Etimesgut,Altıntepe,3+1,78,22,1462000,Villa,2,1
İstanbul,Üsküdar,Güzeltepe,2+1,108,40,1792000,Müstakil,4,2
Ankara,Keçiören,Güzeltepe,2+1,71,2,1217000,Villa,Zemin,3
Ankara,Keçiören,Güzeltepe,1+1,90,19,1972000,Müstakil,Çatı,2
İzmir,Buca,Altıntepe,3+1,121,30,2093000,Rezidans,4,3
İstanbul,Beşiktaş,Merkez,2+1,99,8,2337000,Rezidans,Çatı,3
Ankara,Yenimahalle,Altıntepe,4+1,63,24,1020000,Villa,4,3
İstanbul,Üsküdar,Merkez,4+1,81,49,1377000,Villa,Çatı,3
İstanbul,Beşiktaş,Yeşilbahçe,3+1,93,48,1319000,Müstakil,Zemin,2
İstanbul,Bakırköy,Bahçelievler,3+1,90,45,1407000,Villa,4,3
Ankara,Yenimahalle,Yeşilbahçe,5+1,104,15,1440000,Villa,Çatı,3
İstanbul,Beşiktaş,Güzeltepe,1+1,110,6,1831000,Müstakil,2,1
İstanbul,Kadıköy,Merkez,5+1,114,16,2189000,Villa,5,3
İstanbul,Kadıköy,Altıntepe,3+1,95,40,1549000,Villa,4,1
Ankara,Yenimahalle,Merkez,4+1,120,30,2186000,Daire,5,2
İstanbul,Kadıköy,Yeşilbahçe,2+1,133,21,2159000,Rezidans,Çatı,3
İzmir,Karşıyaka,Bahçelievler,5+1,91,15,1892000,Daire,2,1
İzmir,Karşıyaka,Altıntepe,5+1,113,40,2041000,Müstakil,2,3
İstanbul,Beşiktaş,Yeşilbahçe,2+1,136,20,2502000,Müstakil,2,2
Ankara,Çankaya,Merkez,2+1,39,28,654000,Rezidans,5,2
İzmir,Buca,Bahçelievler,4+1,42,10,624000,Daire,5,1
İzmir,Karşıyaka,Altıntepe,4+1,126,23,1699000,Villa,1,1
İzmir,Konak,Bahçelievler,4+1,64,17,1416000,Villa,1,2
İzmir,Karşıyaka,Altıntepe,2+1,52,36,991000,Müstakil,1,1
Ankara,Etimesgut,Güzeltepe,2+1,71,1,1550000,Rezidans,5,3
İzmir,Buca,Merkez,5+1,52,23,684000,Müstakil,5,1
İzmir,Buca,Altıntepe,3+1,118,9,1757000,Rezidans,Zemin,1
İzmir,Bornova,Merkez,1+1,116,30,1959000,Rezidans,Zemin,1
İzmir,Buca,Bahçelievler,3+1,89,21,1692000,Villa,2,2
İstanbul,Üsküdar,Yeşilbahçe,5+1,78,20,1419000,Rezidans,3,3
Ankara,Etimesgut,Merkez,5+1,132,8,2231000,Daire,5,2
İzmir,Buca,Bahçelievler,4+1,117,23,2456000,Müstakil,2,2
İzmir,Buca,Yeşilbahçe,1+1,63,26,976000,Müstakil,3,1
Ankara,Yenimahalle,Merkez,2+1,131,19,1894000,Daire,3,2
İstanbul,Beşiktaş,Merkez,1+1,136,13,3005000,Daire,Zemin,2
Ankara,Çankaya,Yeşilbahçe,4+1,145,4,2525000,Müstakil,4,1
İstanbul,Beşiktaş,Merkez,3+1,104,48,1586000,Daire,Çatı,2
İstanbul,Üsküdar,Altıntepe,5+1,169,26,2317000,Rezidans,Çatı,2
İstanbul,Bakırköy,Altıntepe,3+1,111,35,1865000,Rezidans,2,2
İstanbul,Bakırköy,Bahçelievler,2+1,84,22,1553000,Daire,3,3
İstanbul,Bakırköy,Merkez,3+1,87,22,1615000,Müstakil,2,3
İstanbul,Kadıköy,Bahçelievler,4+1,129,39,2331000,Daire,Çatı,2
Ankara,Çankaya,Merkez,3+1,84,37,1267000,Daire,4,3
Ankara,Yenimahalle,Yeşilbahçe,1+1,134,3,2006000,Villa,3,2
İzmir,Karşıyaka,Bahçelievler,1+1,78,18,1619000,Rezidans,Zemin,3
İzmir,Karşıyaka,Güzeltepe,3+1,61,18,1149000,Müstakil,Zemin,2
İstanbul,Kadıköy,Bahçelievler,5+1,120,25,1600000,Müstakil,5,2
İzmir,Karşıyaka,Yeşilbahçe,4+1,95,12,1823000,Villa,4,1
İstanbul,Beşiktaş,Altıntepe,1+1,81,11,1646000,Müstakil,5,2
Ankara,Yenimahalle,Merkez,4+1,130,34,2113000,Müstakil,Zemin,2
